 ,Label,Area,Mean,StdDev,X,Y
1,CondensedCluster_Rep3.tif,0.014,255,0,5.18,4.46
2,CondensedCluster_Rep3.tif,0.014,255,0,4.82,4.5
3,CondensedCluster_Rep3.tif,0.094,255,0,5.444,4.954
4,CondensedCluster_Rep3.tif,0.014,255,0,4.7,4.78
5,CondensedCluster_Rep3.tif,0.24,251.6,29.346,5.017,5.169
6,CondensedCluster_Rep3.tif,0.014,255,0,5.54,5.34
7,CondensedCluster_Rep3.tif,0.014,255,0,5.78,5.34
8,CondensedCluster_Rep3.tif,0.098,255,0,4.894,5.819
9,CondensedCluster_Rep3.tif,0.014,255,0,5.66,5.74
10,CondensedCluster_Rep3.tif,0.024,255,0,5.54,5.94
