 ,Label,Area,Mean,StdDev,X,Y
1,MiddleCluster_Rep7.tif,0.014,255,0,4.3,2.74
2,MiddleCluster_Rep7.tif,0.014,255,0,5.82,3.38
3,MiddleCluster_Rep7.tif,0.014,255,0,6.26,3.62
4,MiddleCluster_Rep7.tif,0.014,255,0,6.06,3.7
5,MiddleCluster_Rep7.tif,0.029,255,0,5.14,4
6,MiddleCluster_Rep7.tif,0.014,255,0,5.9,3.98
7,MiddleCluster_Rep7.tif,0.014,255,0,4.58,4.1
8,MiddleCluster_Rep7.tif,0.014,255,0,5.78,4.42
9,MiddleCluster_Rep7.tif,0.014,255,0,4.22,4.54
10,MiddleCluster_Rep7.tif,0.014,255,0,5.58,4.58
11,MiddleCluster_Rep7.tif,0.014,255,0,3.18,4.62
12,MiddleCluster_Rep7.tif,0.014,255,0,5.78,4.62
13,MiddleCluster_Rep7.tif,0.014,255,0,3.74,4.66
14,MiddleCluster_Rep7.tif,0.014,255,0,4.7,4.78
15,MiddleCluster_Rep7.tif,0.014,255,0,2.94,4.86
16,MiddleCluster_Rep7.tif,0.014,255,0,4.34,4.86
17,MiddleCluster_Rep7.tif,0.029,255,0,5.04,4.88
18,MiddleCluster_Rep7.tif,0.014,255,0,7.74,4.9
19,MiddleCluster_Rep7.tif,0.014,255,0,4.58,5.02
20,MiddleCluster_Rep7.tif,0.014,255,0,5.26,5.02
21,MiddleCluster_Rep7.tif,0.019,255,0,5,5.06
22,MiddleCluster_Rep7.tif,0.014,255,0,5.82,5.22
23,MiddleCluster_Rep7.tif,0.026,255,0,4.14,5.28
24,MiddleCluster_Rep7.tif,0.014,255,0,6.5,5.26
25,MiddleCluster_Rep7.tif,0.026,255,0,5.2,5.34
26,MiddleCluster_Rep7.tif,0.014,255,0,3.5,5.42
27,MiddleCluster_Rep7.tif,0.014,255,0,7.58,5.42
28,MiddleCluster_Rep7.tif,0.014,255,0,5.42,5.54
29,MiddleCluster_Rep7.tif,0.029,255,0,4.88,5.64
30,MiddleCluster_Rep7.tif,0.014,255,0,5.26,5.7
31,MiddleCluster_Rep7.tif,0.014,255,0,6.14,5.7
32,MiddleCluster_Rep7.tif,0.014,255,0,3.22,5.78
33,MiddleCluster_Rep7.tif,0.014,255,0,5.06,5.86
34,MiddleCluster_Rep7.tif,0.019,255,0,3.8,6.02
35,MiddleCluster_Rep7.tif,0.014,255,0,3.86,6.34
36,MiddleCluster_Rep7.tif,0.014,255,0,2.94,6.38
37,MiddleCluster_Rep7.tif,0.014,255,0,6.02,6.38
38,MiddleCluster_Rep7.tif,0.014,255,0,5.34,6.5
39,MiddleCluster_Rep7.tif,0.014,255,0,6.74,6.78
40,MiddleCluster_Rep7.tif,0.014,255,0,5.34,6.82
41,MiddleCluster_Rep7.tif,0.014,255,0,4.14,7.1
42,MiddleCluster_Rep7.tif,0.014,255,0,4.42,7.46
43,MiddleCluster_Rep7.tif,0.014,255,0,4.38,8.26
